	&&	||	<=	const	for	do	float	while	long	switch	default	continue	else	record	id	[	]	if	case	==	!	void	#	break	%	double	(	)	*	+	,	-	int	/	boolean	char	short	unsigned	:	;	{	<	!=	}	=	return	>	>=
206	err	err	err	s121	err	err	err	err	err	err	err	err	err	err	s134	err	err	err	err	err	err	err	err	err	err	err	s111	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
207	err	err	err	s144	err	err	err	err	err	err	err	err	err	err	s120	err	err	err	err	err	err	err	err	err	err	err	s113	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
208	err	err	err	s144	err	err	err	err	err	err	err	err	err	err	s120	err	err	err	err	err	err	err	err	err	err	err	s113	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
209	err	err	err	s306	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
210	r76	r76	r76	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r76	err	err	err	err	err	err	err	r76	err	r76	err	r76	err	err	err	err	err	err	err	err	err	r76	r76	err	r76	err	r76	r76
211	err	err	err	s250	err	err	err	err	err	err	err	err	err	err	s254	err	err	err	err	err	err	err	err	err	err	err	s282	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
212	err	err	r78	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r78	err	err	err	err	err	err	err	err	err	r78	err	r78	err	err	err	err	err	err	err	r78	err	r78	r78	err	r78	err	r78	r78
213	err	err	err	s139	err	err	err	err	err	err	err	err	err	err	s157	err	err	err	err	err	err	err	err	err	err	err	s124	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
214	err	err	err	s139	err	err	err	err	err	err	err	err	err	err	s157	err	err	err	err	err	err	err	err	err	err	err	s124	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
215	err	err	err	s144	err	err	err	err	err	err	err	err	err	err	s120	err	err	err	err	err	err	err	err	err	err	err	s113	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
216	err	err	r72	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r72	err	err	err	err	err	err	err	err	err	err	r72	err	err	err	err	err	err	err	err	r72	err	r72	r72	err	r72	err	r72	r72
217	err	err	err	s144	err	err	err	err	err	err	err	err	err	err	s120	err	err	err	err	err	err	err	err	err	err	err	s113	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
218	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r72	err	err	err	err	err	err	err	err
219	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r61	err	err	r61	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
220	err	err	err	s144	err	err	err	err	err	err	err	err	err	err	s120	err	err	err	err	err	err	err	err	err	err	err	s113	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
221	err	err	err	s286	err	err	err	err	err	err	err	err	err	err	s274	err	err	err	err	err	err	err	err	err	err	err	s257	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
222	err	err	err	s144	err	err	err	err	err	err	err	err	err	err	s120	err	err	err	err	err	err	err	err	err	err	err	s113	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
223	err	err	err	s131	err	err	err	err	err	err	err	err	err	err	s114	err	err	err	err	err	err	err	err	err	err	err	s135	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
